Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
15232,8.944654100286385,0.0,6.992934751756778E10,537475.7400925406
15233,8.966337568008475,0.0,7.350941520975243E10,567285.1520982566
15234,8.986985474841227,0.0,7.70887311757831E10,597088.0805250893
15235,9.006691224631533,0.0,8.066714178747763E10,626882.9394304792
15236,9.02553620030542,0.0,8.424452109564795E10,656670.8887640951
15237,9.043592660430631,0.0,8.782095307431186E10,686453.2635541382
15238,9.060923395175408,0.0,9.139636006355304E10,716228.476506589
15239,9.077584764305449,0.0,9.497084181019917E10,745993.432069504
15240,9.093626002412085,0.0,9.854430784730295E10,775745.9696467724
15241,9.109091716296955,0.0,1.0211681822352579E11,805487.9607230953
15242,9.124022363540762,0.0,1.0568854968478201E11,835223.9016669444
15243,9.138453268974036,0.0,1.0925941220563715E11,864951.8993982797
15244,9.152415559860824,0.0,1.1282911096629787E11,894669.5507500942
15245,9.1659398781235,0.0,1.1639799497981845E11,924379.899023834
15246,9.179053343411136,0.0,1.1996622119126144E11,954085.40066193
15247,9.191780714125512,0.0,1.2353396020466753E11,983788.1464566975
15248,9.204143815069951,0.0,1.271011496262377E11,1013487.1555294552
15249,9.216162823449855,0.0,1.3066777633477583E11,1043181.1492139886
15250,9.227856146585083,0.0,1.3423378511922441E11,1072869.2706646384
15251,9.239240868634536,0.0,1.3779916033850388E11,1102550.8962427755
15252,9.25033308976355,0.0,1.4136399327504575E11,1132228.083507967
15253,9.261147325100847,0.0,1.449282512942725E11,1161900.887421419
15254,9.271697082734175,0.0,1.4849191954340036E11,1191568.9542176442
15255,7.354020578945285,0.0,1.794833594145179E9,59827.78475324995
15256,7.530091563492785,0.0,2.6921259208110776E9,89737.53011605912
15257,7.654991440546475,0.0,3.589181208146344E9,119639.37159995342
15258,7.751860325355631,0.0,4.486052765991163E9,149535.08835720326
15259,7.956068296588331,0.0,7.179142526013213E9,119639.37159995342
15260,8.052948539762042,0.0,8.973315258729628E9,149535.08835720326
15261,8.132102102239244,0.0,1.0767294118300962E10,179426.88914812903
15262,8.199022893212824,0.0,1.2561093304572292E10,209316.48229643793
15263,8.256989535778203,0.0,1.4354700922261457E10,239203.780115003
15264,8.308114942272201,0.0,1.6148032384239557E10,269086.46837949654
15265,8.35384444925921,0.0,1.7941104236673584E10,298964.1940355015
15266,8.308249850597264,0.0,1.6153049359837545E10,179426.88914812903
15267,8.375174596676004,0.0,1.8844270969709373E10,209316.48229643793
15268,8.433144237965855,0.0,2.153520677681591E10,239203.780115003
15269,8.484272153425675,0.0,2.422573812723188E10,269086.46837949654
15270,8.530004352211531,0.0,2.6915922419454346E10,298964.1940355015
15271,8.57136652522448,0.0,2.9605437733630703E10,328834.0585453375
15272,8.609121262850241,0.0,3.2294329068696E10,358696.51701694896
15273,8.643848734458633,0.0,3.498273630442505E10,388553.8064753178
15274,8.675999406584989,0.0,3.767076885881621E10,418405.9219610172
15275,8.705927753786025,0.0,4.0358300031237885E10,448252.18294089223
15276,8.530103355283643,0.0,2.6922058960057888E10,239203.780115003
15277,8.571471436560614,0.0,2.9612590310473858E10,269086.46837949654
15278,8.609234823507162,0.0,3.2302774602696323E10,298964.1940355015
15279,8.64396732181227,0.0,3.499228991687268E10,328834.0585453375
15280,8.67611943108019,0.0,3.768118125193798E10,358696.51701694896
15281,8.706049211414072,0.0,4.036958848766703E10,388553.8064753178
15282,8.734044889084661,0.0,4.305762104205819E10,418405.9219610172
15283,8.760339905797021,0.0,4.5745152214479866E10,448252.18294089223
15284,8.785128565166564,0.0,4.843215169785684E10,478092.6354672817
15285,8.808575246877274,0.0,5.111877896641348E10,507929.7315552046
15286,8.830817990591301,0.0,5.3805074866031494E10,537763.1347854093
15287,8.851972914343579,0.0,5.649086011612377E10,567590.3170098673
15288,8.872140959223511,0.0,5.917608840602764E10,597411.3110643801
15289,8.89140918458153,0.0,6.186065316379355E10,627225.4168661345
15290,8.909853190211056,0.0,6.454439395930334E10,657030.2618826365
15291,8.927540666001748,0.0,6.722735470513357E10,686827.4602110186
15292,8.944530853240353,0.0,6.990950528464185E10,716615.7744592091
15293,8.9608776143987,0.0,7.25910382672429E10,746396.0820556395
15294,8.976627630994457,0.0,7.527192836600429E10,776167.5833895481
15295,8.991822830804605,0.0,7.795217888288002E10,805930.2774725839
15296,9.006501083562139,0.0,8.063183211373166E10,835685.3496540897
15297,9.020696129841248,0.0,8.331085469492958E10,865433.2609950688
15298,9.034437543410872,0.0,8.598902383627585E10,895171.4829277606
15299,9.047754552398693,0.0,8.866659738144672E10,924902.9505870341
15300,9.060672897700432,0.0,9.134365853881674E10,954629.430531434
15301,9.073216184418595,0.0,9.402031520182248E10,984351.7438564065
15302,9.085405377696354,0.0,9.66965344800335E10,1014069.1989874678
15303,9.097259977918494,0.0,9.937234145989908E10,1043782.1154794502
15304,7.3540689537521,0.0,1.7950335268270607E9,59834.45005279167
15305,7.530159012853181,0.0,2.6925440621457057E9,89751.46363449922
15306,7.655085824233962,0.0,3.589961317866869E9,119665.3742507736
15307,7.7519774230070615,0.0,4.487262492738462E9,149575.41353376722
15308,7.956150699589603,0.0,7.180504826707588E9,119665.3742507736
15309,8.05305182595308,0.0,8.975449595776556E9,149575.41353376722
15310,8.132221014439267,0.0,1.077024266912884E10,179482.91112088136
15311,8.199150219752433,0.0,1.2564776512301987E10,209386.6208389568
15312,8.25712240854492,0.0,1.4359093432023342E10,239286.24558878667
15313,8.308252396917807,0.0,1.6153144067482576E10,269181.27414689487
15314,8.353987058780252,0.0,1.7946996540984734E10,299072.60964036174
15315,8.308358604871579,0.0,1.6157094852370821E10,179482.91112088136
15316,8.354099136439498,0.0,1.795162869554397E10,209386.6208389568
15317,8.395473170173716,0.0,1.9745945615265324E10,239286.24558878667
15318,8.433240815098129,0.0,2.1539996250724556E10,269181.27414689487
15319,8.467981531144625,0.0,2.333384872422671E10,299072.60964036174
15320,8.500140390950772,0.0,2.512726809346914E10,328956.27732578217
15321,8.530074749976471,0.0,2.692028576400966E10,358833.4002993802
15322,8.55807323715167,0.0,2.87129744131547E10,388705.38774037134
15323,8.584372367955691,0.0,3.0505443542753338E10,418573.46373286727
15324,8.60916507158456,0.0,3.2297586873411427E10,448435.3203211074
15325,8.632613982139222,0.0,3.4089372861876167E10,478291.59739464265
15326,8.654858119081386,0.0,3.5880887223307434E10,508143.58634090924
15327,8.676015685580577,0.0,3.767218092938024E10,537992.2911623422
