Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
17677,7.404572825055773,0.0,3.585723267298466E9,119524.11359347645
17678,7.501445073407362,0.0,4.481765458653517E9,149392.18958597234
17679,7.70569523028814,0.0,7.172978162430148E9,119524.11359347645
17680,7.802567575808723,0.0,8.965447292028782E9,149392.18958597234
17681,7.881710539612042,0.0,1.075759062268687E10,179254.04617421248
17682,7.948617604897727,0.0,1.2549376611151604E10,209110.32324774773
17683,8.006571521835802,0.0,1.4340890972582876E10,238962.3121940143
17684,8.05768851614326,0.0,1.6132184678655674E10,268811.01701544726
17685,8.103409726832917,0.0,1.7923154418994507E10,298654.2829534304
17686,8.144764541778946,0.0,1.9713752841968918E10,328491.39181619056
17687,8.182512312134136,0.0,2.1503894445724663E10,358320.8893390003
17688,8.217229714914701,0.0,2.3293489910624134E10,388141.11447001796
17689,8.24936653857082,0.0,2.508253461218661E10,417951.87894637184
17690,8.2792794929273,0.0,2.6871035813842487E10,447753.9546775123
17691,8.307258504027875,0.0,2.8659159527161266E10,477549.229803742
17692,8.33353817128597,0.0,3.0446904591959087E10,507337.60181857384
17693,8.358312894000376,0.0,3.223427424663381E10,537118.6017527125
17694,8.38174556194092,0.0,3.4021275394542072E10,566892.868266112
17695,8.40397332126626,0.0,3.580786062666223E10,596659.9114252734
17696,8.425112110195476,0.0,3.759388311928472E10,626417.6855471432
17697,8.445265237498816,0.0,3.9379512594788284E10,656169.1843122728
17698,8.46452067211375,0.0,4.11647794101917E10,685914.7465882672
17699,8.482955668635867,0.0,4.294976673551825E10,715655.7760222055
17700,8.500637060285886,0.0,4.4734462215083534E10,745391.9206128767
17701,8.517624086882584,0.0,4.651888173428053E10,775123.8914209512
17702,8.53396892786937,0.0,4.830300229000885E10,804850.9601395568
17703,8.549718485348473,0.0,5.008684778940031E10,834573.1059822083
17704,8.56491459825573,0.0,5.187042782383948E10,864290.4989736876
17705,8.579594608277656,0.0,5.3653722205333115E10,894002.7457992946
17706,7.103824100414782,0.0,1.7940217788566296E9,59800.72808480943
17707,7.279865632857998,0.0,2.690725773591849E9,89690.8610686514
17708,7.404758292451113,0.0,3.587254895131682E9,119575.1682303951
17709,7.501630735099182,0.0,4.483681833375265E9,149456.06409378324
17710,7.580775684229696,0.0,5.379969628941024E9,179332.3236059796
17711,7.647683375579283,0.0,6.276067265062395E9,209202.2430169267
17712,7.705637330171693,0.0,7.172021924059124E9,239067.4018078063
17713,7.7567537206988275,0.0,8.067854470570838E9,268928.48392403
17714,7.802474512627626,0.0,8.963526326838839E9,298784.2052154703
17715,7.843828940688896,0.0,9.859011480569923E9,328633.71233886055
17716,7.881576388069652,0.0,1.0754268162541481E10,358475.6029651458
17717,7.9162937092485866,0.0,1.1649256859220112E10,388308.5625169764
17718,7.948430756608104,0.0,1.254397859686962E10,418132.62271053815
17719,7.978343552071641,0.0,1.34384176086746E10,447947.2542679445
17720,8.00632288351609,0.0,1.4332682997044125E10,477756.1021614187
17721,8.032603344433562,0.0,1.522677693416253E10,507559.23447492125
17722,8.05737967636815,0.0,1.6120716665768003E10,537357.2278095218
17723,8.08081423893193,0.0,1.7014489908277498E10,567149.669658889
17724,8.103043913561464,0.0,1.7908063795614685E10,596935.4700355646
17725,8.1241843638308,0.0,1.8801353133732697E10,626711.7802636595
17726,8.144338817613544,0.0,1.9694437565189106E10,656481.2635126164
17727,8.163595400965841,0.0,2.0587337652609062E10,686244.5950422831
17728,8.18203137349477,0.0,2.1480094141238594E10,716003.1429886479
17729,8.199713674752061,0.0,2.2372705263229412E10,745756.8473992277
17730,7.102838589599341,0.0,1.789955355290637E9,59665.17959490003
17731,7.278873369611295,0.0,2.684585093438882E9,89486.16540334043
17732,7.403769068387166,0.0,3.5790932339587097E9,119303.1156237551
17733,7.500632716196499,0.0,4.473390045883136E9,149113.0208100664
17734,7.704928812235606,0.0,7.160330849862397E9,119303.1156237551
17735,7.801793316480846,0.0,8.949477932229612E9,149113.0208100664
17736,7.880931065115101,0.0,1.0738300125777489E10,178917.69641037117
17737,7.947839909728353,0.0,1.2526924409465414E10,208719.14031194703
17738,8.005795428451895,0.0,1.4315286354843079E10,238515.53453041706
17739,8.05690982849354,0.0,1.6103285642637053E10,268306.09435674007
17740,8.10262635095626,0.0,1.7890853923736588E10,298088.7858160432
17741,8.057148911152034,0.0,1.6112153083288557E10,178917.69641037117
17742,8.12405815845178,0.0,1.8795890274101856E10,208719.14031194703
17743,8.182014395168178,0.0,2.1479254413024734E10,238515.53453041706
17744,8.233129260371786,0.0,2.4162069210572155E10,268306.09435674007
17745,8.27884664121554,0.0,2.684426735860116E10,298088.7858160432
17746,8.320196768986422,0.0,2.9525803779664833E10,327864.376906561
17747,8.35794086643727,0.0,3.2206673350429024E10,357633.90824062226
17748,8.392659181874016,0.0,3.4887047979788704E10,387400.1516960946
17749,8.424798306345869,0.0,3.7566729061877464E10,417159.3305248515
17750,8.454712445546189,0.0,4.024552110260666E10,446907.1268115779
17751,8.307071846290507,0.0,2.864684458739585E10,238515.53453041706
17752,8.358187347746986,0.0,3.2224957269014103E10,268306.09435674007
17753,8.403905494376914,0.0,3.580226868628643E10,298088.7858160432
17754,8.445256165800473,0.0,3.9378690029134285E10,327864.376906561
17755,8.483000154003962,0.0,4.2954166368119316E10,357633.90824062226
17756,8.517717269609912,0.0,4.652886396139196E10,387400.1516960946
17757,8.549855111144023,0.0,5.010260723333162E10,417159.3305248515
17758,8.579768889117819,0.0,5.367525759901007E10,446907.1268115779
17759,8.607744454244164,0.0,5.724660467538055E10,476639.6210742347
17760,8.634018245382105,0.0,6.081679842133409E10,506360.3897375011
17761,8.658787530686626,0.0,6.438621072636063E10,536075.5205142483
17762,8.68221448707586,0.0,6.795475468509376E10,565784.0392571648
17763,8.704434776532075,0.0,7.152208445297362E10,595481.3946354927
17764,8.500925353550349,0.0,4.476416772706791E10,298088.7858160432
17765,8.542276195776276,0.0,4.923584575188732E10,327864.376906561
17766,8.58002007214751,0.0,5.370631078755098E10,357633.90824062226
17767,8.614736555417915,0.0,5.817573011847313E10,387400.1516960946
17768,8.646873550868744,0.0,6.264391240221777E10,417159.3305248515
