Rupture Index,Average Slip (m)
231,13.452520969525226
232,13.550545192801037
233,13.63163014736502
234,13.712269078929953
235,13.792475609606425
236,13.87223059272134
237,13.903963659923697
238,6.747661670715321
239,7.007098747810838
240,7.257240721162915
241,7.499124739171401
242,7.704561763414213
243,7.904608229222406
244,8.072042635837471
245,8.236054819604863
246,8.396900991065088
247,8.554703218693193
248,8.709533559711549
249,8.86160213209335
250,9.011137918555189
251,9.158220899904512
252,9.302964517582108
253,9.445471408970247
254,9.585828415631669
255,9.72413123876477
256,9.860476504685575
257,9.972642155859038
258,10.08356266035583
259,10.193268923185526
260,10.301792995012404
261,10.40915366645983
262,10.515389396687034
263,10.620542459267979
264,10.724650012910564
265,10.827735778639594
266,10.92982987200168
267,11.030966271519697
268,11.131170556066662
269,11.230461498285479
270,11.328860601563976
271,11.426388070628255
272,11.523064003473836
273,11.618913228722823
274,11.713951986676113
275,11.808199227102538
276,11.901669412625491
277,11.994384168934271
278,12.086368263968128
279,12.17763581440841
280,12.26819409370323
281,12.358067686629825
282,12.44727712222387
283,12.535840866433833
284,12.6237702987632
285,12.711077327033438
286,12.797773142538613
287,12.883869218201427
288,12.969380565637126
289,13.054318500691126
290,13.138693355595342
291,13.239245630440172
292,13.339018833823495
293,13.438029001240084
294,13.536305108079546
295,13.633826828100773
296,13.7305567378395
297,13.810584838844493
298,13.890184887861974
299,13.969369927786424
300,14.048120663250812
301,14.07945730255009
302,7.439506617695215
303,7.675648970132153
304,7.87648314631284
305,8.072270163838349
306,8.23629687961147
307,8.39710144122145
308,8.554920194715546
309,8.709859936768154
310,8.861979884408656
311,9.01147627683621
312,9.158565315274256
313,9.303317785296247
314,9.445838253050955
315,9.586221432765493
316,9.724547155267569
317,9.860904576048952
318,9.995384302955125
319,10.106052732600297
320,10.215524753820523
321,10.323828806235845
322,10.43099461248406
323,10.537038937145908
324,10.641998096974262
325,10.745912305886286
326,10.848816842594092
327,10.950733806832194
328,11.05169171129289
329,11.151722977706086
330,11.250851802276989
331,11.34909571888098
332,11.446475027166798
333,11.54300880217839
334,11.638716069480298
335,11.733620591622314
336,11.827737677756987
337,11.921085364725503
338,12.013677286920274
339,12.105534213809444
340,12.19668006823912
341,12.287128255622939
342,12.376885429363107
343,12.465975430310102
344,12.554418111248133
345,12.642231308506478
346,12.729425857498468
347,12.816013139722244
348,12.90200384712996
349,12.987408970867737
350,13.072243031865076
351,13.156516903413184
352,13.24024049972907
353,13.340027366032608
354,13.439052369106053
355,13.537330920005497
356,13.634891303181714
357,13.731712883762777
358,13.827758059399706
359,13.907226830186785
360,13.98627686815006
361,14.064920920226331
362,14.143139622536182
363,14.174266192934029
364,0.9453063886888087
365,1.1577947158747635
366,1.336971786333966
367,1.4946898363878718
368,1.890516245377203
369,2.1135946672315518
370,2.314950065689568
371,2.5000432169403943
372,2.6723673955650806
373,2.8342084183803062
374,2.9873754945915616
375,2.8351068058196573
376,3.061846795235748
