Section Index,Slip Rate (m/yr),Slip Rate Standard Deviation (m/yr)
278,0.013336671829223634,0.0
279,0.013487353324890136,0.0
280,0.013487353324890136,0.0
281,0.013487353324890136,0.0
282,0.013487353324890136,0.0
283,0.013487353324890136,0.0
284,0.013638035774230957,0.0
285,0.013638035774230957,0.0
286,0.013638035774230957,0.0
287,0.013638035774230957,0.0
288,0.013638035774230957,0.0
289,0.013906401634216308,0.0
290,0.013906401634216308,0.0
291,0.013906401634216308,0.0
292,0.013906401634216308,0.0
293,0.013906401634216308,0.0
294,0.017526002883911134,0.0
295,0.017526002883911134,0.0
296,0.017526002883911134,0.0
297,0.017526002883911134,0.0
298,0.017526002883911134,0.0
299,0.021220571517944337,0.0
300,0.021220571517944337,0.0
301,0.021220571517944337,0.0
302,0.021220571517944337,0.0
303,0.021220571517944337,0.0
304,0.024990110397338866,0.0
305,0.024990110397338866,0.0
306,0.024990110397338866,0.0
307,0.024990110397338866,0.0
308,0.024990110397338866,0.0
309,0.028834617614746094,0.0
310,0.028834617614746094,0.0
311,0.028834617614746094,0.0
312,0.028834617614746094,0.0
313,0.028834617614746094,0.0
314,0.03275409317016602,0.0
315,0.03275409317016602,0.0
316,0.03275409317016602,0.0
317,0.03275409317016602,0.0
318,0.03275409317016602,0.0
319,0.03673202133178711,0.0
320,0.03673202133178711,0.0
321,0.03673202133178711,0.0
322,0.03673202133178711,0.0
323,0.03673202133178711,0.0
324,0.037108726501464843,0.0
325,0.037108726501464843,0.0
326,0.037108726501464843,0.0
327,0.037108726501464843,0.0
328,0.037108726501464843,0.0
329,0.03748543167114258,0.0
330,0.03748543167114258,0.0
331,0.03748543167114258,0.0
332,0.03748543167114258,0.0
333,0.03748543167114258,0.0
334,0.037862136840820314,0.0
335,0.037862136840820314,0.0
336,0.037862136840820314,0.0
337,0.037862136840820314,0.0
338,0.037862136840820314,0.0
339,0.03823884201049805,0.0
340,0.03823884201049805,0.0
341,0.03823884201049805,0.0
342,0.03823884201049805,0.0
343,0.03823884201049805,0.0
344,0.038615547180175784,0.0
345,0.038615547180175784,0.0
346,0.038615547180175784,0.0
347,0.038615547180175784,0.0
348,0.038615547180175784,0.0
349,0.03899225234985352,0.0
350,0.03899225234985352,0.0
351,0.03899225234985352,0.0
352,0.03899225234985352,0.0
353,0.03899225234985352,0.0
354,0.03936895751953125,0.0
355,0.03936895751953125,0.0
356,0.03936895751953125,0.0
357,0.03936895751953125,0.0
358,0.03936895751953125,0.0
359,0.039745658874511716,0.0
360,0.039745658874511716,0.0
