Rupture Index,Average Slip (m)
171,5.767698445604264
172,2.519988181675258
173,2.627930907738906
174,2.731565350292834
175,2.8313698454603187
176,2.9277649526670726
177,3.021123287588238
178,3.111689877540079
179,3.1996706609897365
180,3.273162004687903
181,3.3450307574231104
182,3.4154036920784994
183,3.484346767375802
184,3.5519025197242398
185,3.618172326945905
186,3.6832643911665475
187,3.7472209272823687
188,3.810097860454407
189,3.871945656714336
190,3.9328072714016673
191,3.9927289313719636
192,4.051756749957133
193,4.100283882599853
194,4.148244437015067
195,4.195653633598337
196,4.24252704517365
197,4.288874390020833
198,4.334713761011547
199,4.380064778559238
200,4.424944747755798
201,4.469365086086699
202,4.513339883243034
203,4.556884811896511
204,4.600011853638445
205,4.642729996488623
206,4.685049345538451
207,4.7269793927332975
208,4.768529533648144
209,4.8097111489196305
210,4.850531884356219
211,4.891000509817887
212,4.931123831185045
213,4.970911694292122
214,5.010375258023968
215,5.049521079244498
216,5.08835275331287
217,5.126881272970172
218,5.16511586409301
219,5.203064843126303
220,5.240733467781358
221,5.278127202698643
222,5.315251187239218
223,5.352110664063075
224,5.3887123738997795
225,5.425061459241183
226,5.461162627047779
227,5.504176715597103
228,5.546848226091253
229,5.589184441592117
230,5.631198153196505
231,5.672881055148469
232,5.714217527355181
233,5.748410769175478
234,5.782415924656627
235,5.816238738195033
236,5.849871135705598
237,5.863252859187897
238,2.8454653328597166
239,2.9548690411306278
240,3.060353036653924
241,3.1623546812833583
242,3.2489867560813255
243,3.333345651235886
244,3.4039521550590983
245,3.4731155194734935
246,3.540943787568145
247,3.6074884351921574
248,3.6727798486242533
249,3.7369066338790353
250,3.799965352167436
251,3.861989731116297
252,3.923027608584543
253,3.983122266397397
254,4.042310325338222
255,4.100632142267751
256,4.158128464165595
257,4.205428327070235
258,4.252203115975066
259,4.298465863414566
260,4.344230085041792
261,4.389503704796917
262,4.434302940772911
263,4.478645619588103
264,4.522547410939684
265,4.566018317900874
266,4.609071040092377
267,4.651719906138481
268,4.693975702560499
269,4.735846345716303
270,4.777340903509354
271,4.818467896201999
272,4.859235799048677
273,4.899655082192513
274,4.939732594111612
275,4.979476325857227
276,5.018892376267078
277,5.057989864818723
278,5.096779236065544
279,5.135266442962703
280,5.173454552697837
281,5.211353932585546
282,5.248973239648391
283,5.286320260912277
284,5.323399795074031
285,5.36021686362033
286,5.396776185880753
287,5.433082599946683
288,5.469142436163785
289,5.5049604663845
290,5.540541047674902
291,5.582943590388757
292,5.625017601391372
293,5.666769842794826
294,5.708212533419601
295,5.7493371017608945
296,5.790127766474678
297,5.823875336844512
298,5.857442399187928
299,5.890834453647921
300,5.9240433634356835
301,5.9372579146573905
302,3.13721392791587
303,3.2367943322499273
304,3.321485402114283
305,3.4040481028215006
306,3.473217595331899
307,3.541028316698194
308,3.6075799332221115
309,3.6729174806878233
310,3.737065930709562
311,3.800108036671449
312,3.8621349698734444
313,3.9231765803443697
314,3.983276963263535
315,4.042476059289343
316,4.1008075328027
317,4.158308980362749
318,4.215018610981113
319,4.261687100802414
320,4.307851069374243
321,4.353522509584931
322,4.398713955366907
323,4.4434324762852535
324,4.487693386987672
325,4.53151364554242
326,4.57490812885904
327,4.617886156318304
328,4.660459751622857
329,4.702642586902834
330,4.744444865613369
331,4.785873981728402
332,4.826938495538824
333,4.867646450923974
334,4.908005870897894
335,4.948026776044742
336,4.9877156221806205
337,5.027080015378389
338,5.066125705213656
339,5.104861450098514
340,5.14329733821352
341,5.181439022574728
342,5.219289308898589
343,5.256858250788387
344,5.294154220093803
345,5.331184738332532
346,5.367954374760487
347,5.404467928915636
348,5.44072990955682
349,5.476744951611925
350,5.512519178506152
351,5.5480571754683785
352,5.583363123289253
353,5.625442895897551
354,5.667201393445627
355,5.70864511472195
356,5.749785987180514
357,5.790615309167977
358,5.831117223905254
359,5.864628926677932
360,5.897964051282942
361,5.9311279730589614
362,5.964112526325747
363,5.977238492226243
364,0.3986323987787709
365,0.48823798337247654
366,0.563796327479699
367,0.6303054777150052
368,0.7972240903504982
369,0.8912954808368433
370,0.9762063483130576
371,1.054259483004109
372,1.1269279865863415
373,1.1951757800188274
374,1.2597658004974932
375,1.1955546268607258
376,1.291170087584925
377,1.3802091549177982
378,1.4638453332876884
379,1.5429624735834113
380,1.6181953177114687
381,1.690132499766034
382,1.7591868629790597
383,1.8256169581373145
